,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.0033850000000002,1.004301158,0.917586,1.10485,1.0015767331104173,1.0070255828895829,0.004301157999999998,0.031347582197260436
V,0.862168,0.840088574,0.01,2.03566,0.7976161895512556,0.8825609584487445,-0.1599114259999999,0.5098000961221408
Q,0.9382649999999999,1.114082494,0.278526,5.38662,1.0642827648246425,1.1638822231753576,0.11408249399999994,0.5789343280821496
Vp,1.1020349999999999,1.12937608,0.338426,1.77611,1.1017120129665297,1.1570401470334701,0.12937607999999998,0.3408073103169412
Ka,0.947801,0.952539384,0.520176,1.56487,0.9374523269230121,0.967626441076988,-0.04746061599999996,0.17838141736862614
BCL,1.04547,1.045604486,0.838724,1.27742,1.039573645022965,1.051635326977035,0.045604485999999986,0.08248827512417752
BV,1.4154,1.9897875902,0.01,13.1026,1.79710078477891,2.1824743956210897,0.9897875901999993,2.408854527575476
BQ,0.6600165,0.7310329536,0.01,3.32659,0.670547982607554,0.791517924592446,-0.2689670463999997,0.7399785897111745
BVp,0.891338,0.95610803,0.506316,2.21774,0.9354226449308352,0.9767934150691648,-0.04389197,0.2398086195512205
BKa,0.921349,0.925411396,0.174803,1.52861,0.9069094540688889,0.9439133379311111,-0.074588604,0.2236751632378347
RUV,0.9961249999999999,0.993598902,0.778929,1.2093,0.9872068926968034,0.9999909113031966,-0.006401098000000001,0.0731323563948134
