,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9955495,0.99686846,0.913148,1.08173,0.9901526997085371,1.0035842202914629,-0.003131539999999994,0.034236477281694745
V,0.3538635,0.380720063,0.01,2.25667,0.3200004405733216,0.4414396854266784,-0.6192799370000002,0.6917540939613228
Q,0.1852395,0.51855019,0.106348,14.2257,0.234338715590111,0.802761664409889,-0.48144980999999987,1.521023833836462
Vp,1.07174,1.13461452,0.245425,1.71832,1.0913286825070723,1.1779003574929277,0.13461452,0.2576977253677261
Ka,0.239627,0.38465136,0.164179,1.70004,0.318988713178863,0.450314006821137,-0.6153486399999999,0.699835509087114
BCL,0.926951,0.93365408,0.777666,1.08836,0.9203865335108116,0.9469216264891885,-0.06634592000000002,0.09454244622538598
BV,0.01,1.142948081,0.01,13.2554,0.5861169094340096,1.6997792525659903,0.1429480810000001,2.830398810950784
BQ,0.01,0.498461105,0.01,7.54493,0.31570218415354623,0.6812200258464538,-0.5015388950000002,1.0546701951841055
BVp,1.28536,1.25038636,0.617805,2.9936,1.1839331399706703,1.3168395800293298,0.25038636000000003,0.42012007657856576
BKa,0.4587735,0.375593503,0.01,0.904153,0.317862177255136,0.433324828744864,-0.6244064970000003,0.6897661374800635
RUV,2.888115,2.9850007,1.74865,4.10383,2.8938957411234707,3.0761056588765294,1.9850007000000003,2.038169231891454
