,Median,Mean,Min,Max,95CIlo,95CIup
CL,1.00292,1.00190324,0.933919,1.06732,0.995626388925792,1.0081800910742083
V,1.098095,1.15599308,0.743376,2.2036,1.1030787001779374,1.2089074598220626
Q,0.9965364999999999,1.06741555,0.33637,2.5196,1.0053071772499111,1.1295239227500888
Vp,0.9672855,0.92757531,0.276708,1.1283,0.896255441262562,0.9588951787374381
Ka,1.03673,1.09529487,0.715189,1.95677,1.0506493048534185,1.1399404351465816
BCL,0.9875155,0.98678809,0.843723,1.16434,0.9743060374528781,0.9992701425471219
BV,1.02868,1.061852,0.409464,1.59423,1.019659580520033,1.104044419479967
BQ,1.333525,1.47756545,0.01,2.93141,1.358577696003702,1.596553203996298
BVp,1.04287,1.06364174,0.680279,2.20404,1.0232575020262846,1.1040259779737154
BKa,1.0057999999999998,1.01336908,0.25099,1.87286,0.9625348767374421,1.0642032832625576
RUV,1.60554,1.5922411,1.23974,1.94456,1.5629807533594253,1.6215014466405748
