,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9977754999999999,0.99139014,0.68142,1.11912,0.9815303960020683,1.0012498839979318,-0.008609860000000006,0.05078868536101323
V,1.0124900000000001,1.02642104,0.789827,1.4289,1.0045022864406117,1.0483397935593883,0.026421040000000007,0.11436563682234276
Q,0.9789935000000001,1.03664535,0.759641,2.37388,0.992171605270564,1.0811190947294358,0.03664534999999998,0.22872824757819044
Vp,1.012195,1.01088156,0.741941,1.17099,0.9962206151180285,1.0255425048819717,0.010881559999999998,0.0752184219450262
Ka,0.989105,1.00437325,0.774208,1.39419,0.9828410542797898,1.0259054457202101,0.0043732499999999995,0.10939692661491913
BCL,0.9969115,1.00462779,0.855907,1.56023,0.9849099762149846,1.0243456037850154,0.0046277900000000005,0.10020558033657605
BV,1.056045,1.03324284,0.279192,1.51699,0.9918747723575075,1.0746109076424926,0.033242839999999996,0.21262225544298033
BQ,0.9516560000000001,1.0690413,0.01,4.24519,0.921343380672023,1.2167392193279771,0.0690413,0.7529692700445217
BVp,0.9600255,0.95796959,0.548842,1.29529,0.9334483527715253,0.9824908272284748,-0.04203041,0.13138760935449736
BKa,0.965821,0.96254322,0.577374,1.33808,0.9342579439970549,0.9908284960029452,-0.03745678,0.14839690931262686
RUV,1.000692,1.01357928,0.888802,1.37906,1.0013864146735711,1.025772145326429,0.01357928,0.06336983289989015
