,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.020005,1.020047176,0.729555,1.26923,1.015941275728612,1.0241530762713882,0.020047176000000014,0.050909463740448094
V,1.053045,1.062092466,0.843839,1.46456,1.0543035312451745,1.0698814007548254,0.06209246600000003,0.10833326502101745
Q,1.07769,1.092330826,0.840467,1.77401,1.0822385076020338,1.1024231443979662,0.09233082599999994,0.1474984266791005
Vp,1.007675,1.00950524,0.71347,1.38121,1.0042314455157042,1.0147790344842957,0.009505240000000012,0.06085397722292274
Ka,1.031225,1.039437554,0.831167,1.68541,1.0313632785639284,1.0475118294360717,0.039437554000000014,0.10011951864863315
BCL,1.2119550000000001,1.213858352,0.992425,1.72977,1.2063929748030324,1.2213237291969674,0.21385835200000006,0.23016273177665414
BV,1.32422,1.323397872,0.241278,2.27661,1.3055881488086702,1.3412075951913296,0.32339787200000036,0.3818222387609607
BQ,1.11987,1.17821055,0.01,3.29887,1.1399851581622937,1.2164359418377062,0.17821055000000002,0.47070613473034967
BVp,1.23638,1.228900794,0.665806,1.78682,1.217015172829382,1.240786415170618,0.22890079399999994,0.26598135871600087
BKa,0.9785065,0.983450102,0.572628,1.60681,0.9714384517326641,0.995461752267336,-0.016549898,0.13789717555436007
RUV,1.0043000000000002,1.01205821,0.867089,1.78881,1.005682572041245,1.018433847958755,0.012058210000000003,0.07365878131417872
