,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.000265,1.000959804,0.746797,1.49022,0.9961039365125872,1.005815671487413,0.0009598039999999975,0.055352126347774575
V,1.028455,1.0075535044,0.01,2.32898,0.9740212411463615,1.0410857676536385,0.007553504399999987,0.3822520795331664
Q,0.9227565,1.071369494,0.131566,10.5853,1.0016427018918364,1.1410962861081637,0.07136949400000003,0.7978958453895032
Vp,1.0001535,1.018251088,0.163039,1.76702,0.9963035779674656,1.0401985980325343,0.018251088000000016,0.25080741354812464
Ka,0.968863,0.988570208,0.695866,2.3974,0.973408750604682,1.0037316653953179,-0.011429791999999992,0.1731773563365603
BCL,0.9951145,0.998556614,0.814576,1.45591,0.9917419463264444,1.0053712816735554,-0.001443385999999999,0.07768225865038939
BV,1.06709,1.206865542,0.01,12.9677,1.1095942976528281,1.304136786347172,0.20686554200000018,1.1277650381211581
BQ,0.7086895,0.8085413164,0.01,6.58587,0.7331460009390518,0.8839366318609483,-0.19145868359999937,0.880374243953252
BVp,0.9448045,0.977980812,0.350337,2.40016,0.9579098062225934,0.9980518177774066,-0.02201918800000001,0.22981268184000642
BKa,0.9548465,0.960051396,0.312775,2.56812,0.9411728246610928,0.9789299673389072,-0.039948604000000006,0.21884195168935963
RUV,1.00331,1.010244734,0.807057,2.0081,1.0020061812664716,1.0184832867335285,0.010244734000000014,0.09445452692091579
