Median,Min,Max,95CIlo,95CIup
0.9956365,0.700241,1.07761,0.981528135660048,1.000489984339952
0.490474,0.01,2.69574,0.4654868275791659,0.6866223264208341
0.3289335,0.0192399,253.244,-1.9032070687507177,8.004883172750718
1.097865,0.01,12.3916,1.049850994512604,1.560159451487396
0.32117850000000003,0.0957094,2.24037,0.4827840138294028,0.6523392541705972
0.9090374999999999,0.534842,1.08789,0.8953928070657512,0.9277683329342489
0.407527,0.01,14.0202,0.9315748778265208,2.203032502173479
0.01,0.01,6.87961,0.3471034948131976,0.7113528651868024
1.115,0.329215,7.36057,1.1442934132555787,1.5169224267444215
0.01,0.01,0.922793,0.10185999044937041,0.1890443495506296
3.6307549999999997,2.41143,6.00737,3.515819012154511,3.785240787845489
