,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9897134999999999,0.990242478,0.910395,1.07832,0.9876149256069112,0.9928700303930887,-0.009757522000000017,0.03149655618212887
V,0.2569835,0.344243446,0.135414,1.33464,0.3244546005112483,0.3640322914887517,-0.655756554,0.6934585281557637
Q,0.186611,0.2729369428,0.0618293,1.34492,0.25340702026173656,0.2924668653382635,-0.7270630572000002,0.7603724908547954
Vp,1.06161,1.054566884,0.689298,1.35151,1.0448974496831043,1.0642363183168957,0.05456688399999994,0.1229747776962577
Ka,0.2274405,0.310225922,0.127559,1.36266,0.29141718570204245,0.3290346582979575,-0.6897740779999992,0.7223173182122007
BCL,0.9441745,0.944725196,0.726984,1.1282,0.938894302064335,0.9505560899356651,-0.055274804000000004,0.08643938610834762
BV,1.389175,1.364291914,0.01,1.84821,1.3454557169153487,1.3831281110846514,0.36429191400000005,0.42284383877643783
BQ,0.01,0.2783788954,0.01,2.51275,0.2352311591710921,0.3215266316289079,-0.7216211046000038,0.8732540915409273
BVp,1.272985,1.289360992,0.666049,2.3774,1.2663943576788579,1.312327626321142,0.28936099199999993,0.39018828751990486
BKa,0.709824,0.7004000546,0.01,1.13484,0.685994794434271,0.714805314765729,-0.29959994540000007,0.3416366149014695
RUV,2.2580600000000004,2.26502716,1.75597,3.66212,2.2449936509988633,2.2850606690011364,1.2650271599999996,1.285467774571576
