,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.01895,1.020152962,0.933126,1.12977,1.0171227590940408,1.0231831649059593,0.020152961999999996,0.03998608971442446
V,0.87847,0.8639150932,0.01,1.92127,0.8271721762964638,0.9006580101035363,-0.13608490680000007,0.4403267161965095
Q,1.081965,1.23424412,0.379661,4.43361,1.1859236679610714,1.2825645720389287,0.23424411999999992,0.5984697726682808
Vp,1.121515,1.134315734,0.473164,1.88489,1.109925251798955,1.158706216201045,0.13431573400000008,0.30873419932374524
Ka,0.9887775,1.004299412,0.508797,1.67177,0.9894111052941561,1.0191877187058438,0.004299411999999996,0.16974103605020208
BCL,1.211865,1.212529038,0.983251,1.43137,1.205458890497608,1.219599185502392,0.21252903800000017,0.22729238847152364
BV,2.0040750000000003,2.3638025296,0.01,14.1616,2.2085263921713745,2.5190786670286256,1.3638025295999998,2.234256027740187
BQ,0.984939,0.8910175508,0.01,2.79136,0.8297728770780951,0.9522622245219049,-0.10898244920000014,0.7064807285346878
BVp,1.01728,1.051183724,0.56676,2.2101,1.03276346788114,1.06960398011886,0.05118372400000003,0.21609052677103646
BKa,0.9628245,0.969221806,0.137048,1.77886,0.9495202263089526,0.9889233856910473,-0.030778194000000023,0.22664447420103137
RUV,0.9990775000000001,0.99712261,0.779187,1.24013,0.9905878250502167,1.0036573949497833,-0.002877389999999996,0.07453450037711398
