,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,0.9953415,0.99451213,0.920863,1.06149,0.98785228744916,1.0011719725508401,-0.0054878700000000015,0.03425158702089584
V,0.540279,0.594855467,0.01,2.0796,0.49503424458454554,0.6946766894154546,-0.40514453300000014,0.6487958372023158
Q,0.7030095000000001,0.75227214,0.332268,2.22611,0.6857965825167809,0.8187476974832191,-0.24772786,0.4186324940069273
Vp,1.25301,1.22070556,0.346349,1.67021,1.1626266353964914,1.2787844846035088,0.2207055600000001,0.3682964001944086
Ka,0.6370819999999999,0.6902916,0.395154,1.82942,0.6417295246217974,0.7388536753782026,-0.30970840000000005,0.39584780620753723
BCL,0.9750810000000001,0.97288836,0.819251,1.12889,0.9604916855502361,0.9852850344497639,-0.027111640000000003,0.06852397710480616
BV,1.8446099999999999,3.21187759,0.579752,11.9903,2.5815321471914854,3.8422230328085143,2.2118775899999994,3.8900276365446365
BQ,0.01,0.538441413,0.01,4.09978,0.34417531983325544,0.7327075061667446,-0.4615585870000003,1.0888680140514488
BVp,0.8263455,0.88124586,0.583241,2.06635,0.8348381049208161,0.927653615079184,-0.11875414000000004,0.2638295197823777
BKa,0.725876,0.73997595,0.01,2.59606,0.6783996723308539,0.8015522276691462,-0.26002404999999995,0.4066061369296214
RUV,1.5682550000000002,1.6365041,1.1349,2.31479,1.5863926239998118,1.6866155760001882,0.6365040999999999,0.6854587719002508
