,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.0009,1.001810342,0.68001,1.3216,0.997602498318183,1.006018185681817,0.0018103420000000047,0.047992235702392534
V,1.042815,1.05523015,0.769589,1.70575,1.0447160392688042,1.065744260731196,0.055230150000000096,0.13194773472629986
Q,0.9782805,1.024798268,0.694696,5.38561,1.000674448242894,1.0489220877571062,0.02479826800000001,0.2760625893613766
Vp,0.996942,0.990712582,0.642195,1.19996,0.9841230340824708,0.9973021299175292,-0.009287417999999999,0.07567516216504593
Ka,1.005185,1.018112532,0.791925,1.94802,1.0077332852543286,1.0284917787456713,0.01811253199999998,0.11967404007157109
BCL,0.9897495000000001,0.994798904,0.794367,1.55529,0.9879741564557681,1.001623651544232,-0.005201095999999994,0.07795742594937316
BV,1.0175049999999999,1.0105927808,0.01,2.58745,0.9917235297356078,1.029462031864392,0.010592780799999995,0.21531933248040028
BQ,0.8677239999999999,0.986065254,0.01,6.04825,0.9201668905396249,1.0519636174603753,-0.013934745999999954,0.7511930239162592
BVp,0.98785,0.981925182,0.101053,1.41401,0.9702975578732924,0.9935528061267076,-0.018074817999999993,0.1337505097056381
BKa,0.9817925000000001,0.986141128,0.457699,1.5055,0.97389614403142,0.99838611196858,-0.013858872000000005,0.14024625440060773
RUV,1.00892,1.01239814,0.902459,1.64133,1.007377010171606,1.017419269828394,0.012398139999999997,0.05855496065055461
