Median,Min,Max,95CIlo,95CIup
0.9956575,0.931317,1.06502,0.9893371640913715,1.0018621959086285
1.0168949999999999,0.830597,1.21109,1.0147985396739112,1.0440735603260887
1.01,0.866199,1.33853,0.9948227753122447,1.0310414446877552
0.999549,0.888031,1.11953,0.9913819433087703,1.0099238766912297
1.00471,0.862052,1.24073,0.9913025579038387,1.0211413020961613
0.9966744999999999,0.844734,1.17238,0.9803661707358335,1.0050490892641664
1.002672,0.720907,1.5353,0.9751411457180552,1.0311411742819447
0.9080185000000001,0.521398,3.286,0.9157505866887173,1.1033840333112825
0.9896024999999999,0.786958,1.28156,0.9645361842251998,1.0010731757748002
0.969923,0.714141,1.28173,0.9622176135243306,1.0113480264756693
1.017035,0.93305,1.09058,1.0139247333293755,1.0264764066706247
