,Median,Mean,Min,Max,95CIlo,95CIup,rBias,rRMSE
CL,1.006285,1.005901608,0.882571,1.10251,1.003076540152016,1.008726675847984,0.0059016080000000035,0.032734546470418714
V,1.107335,1.165161582,0.635144,2.21553,1.1409580104957073,1.1893651535042928,0.165161582,0.3215192087342932
Q,1.014055,1.07978589,0.327654,6.9797,1.043798877556724,1.1157729024432759,0.0797858900000001,0.41784313522507227
Vp,0.963804,0.919240026,0.268493,1.22131,0.9053541382806866,0.9331259137193134,-0.08075997400000005,0.17767650270510724
Ka,1.0722900000000002,1.104993108,0.605309,1.96932,1.0843733856723616,1.1256128303276383,0.10499310799999995,0.2573964062602895
BCL,0.987913,0.988381388,0.806824,1.29388,0.982511523516297,0.9942512524837029,-0.011618611999999993,0.0679020430676132
BV,1.05131,1.066987846,0.226275,1.74978,1.044602534457371,1.0893731575426289,0.06698784599999999,0.26377988211571035
BQ,1.35696,1.467536908,0.01,4.1704,1.4130618553854133,1.5220119606145868,0.467536908,0.7772186528145654
BVp,1.05712,1.083237086,0.494196,2.29824,1.0651807781978755,1.1012933938021245,0.08323708600000003,0.22198935849904608
BKa,1.02515,1.0048748254,0.0492187,1.87961,0.9810163809729793,1.0287332698270206,0.004874825400000002,0.27196566776117054
RUV,1.60053,1.59790458,1.01287,2.07466,1.5840144925125332,1.6117946674874668,0.5979045800000006,0.6185077251021204
